,locName,catName,distance
410,Lebowskis,Cocktail Bar,697
411,Max's Bar and Grill,Cocktail Bar,26
412,Anchor Line,Cocktail Bar,147
413,The Citizen Bar & Dining Rooms,Cocktail Bar,156
414,The Z Hotel Glasgow,Hotel,305
415,The Pot Still,Whisky Bar,511
416,Travelodge,Hotel,24
417,Republic Bier Halle,Beer Garden,187
418,Stereo,Wine Bar,401
419,The Clutha Bar,Beer Bar,591
420,Shilling Brewing Co,Bar,341
421,Inn Deep,Beer Bar,357
422,Dram,Bar,90
423,The Belle,Bar,721
424,The Butchershop Bar & Grill,Wine Bar,867
425,BrewDog Glasgow,Beer Bar,948
426,Ubiquitous Chip,Bar,993
427,Hillhead Bookclub,Cocktail Bar,989
428,Chinaskis,Beer Garden,769
429,Nice N Sleazy,Night Club,850
430,Lebowskis,Cocktail Bar,898
431,The Lismore,Whisky Bar,449
432,Three Judges,Bar,567
433,Bag O' Nails,Beer Bar,507
434,St Louis Cafe Bar,Wine Bar,873
435,The Sparkle Horse,Bar,533
436,Tennents Bar,Pub,981
437,Six Degrees North,Beer Bar,450
438,Epicures of Hyndland,Wine Bar,768
439,Smiddy Bar,Bar,232
440,Hayburn Vaults,Arts and Entertainment,64
441,Lebowskis,Cocktail Bar,74
442,Strip Joint,Bar,51
443,The SSE Hydro,Concert Hall,510
444,Taphouse Bar & Kitchen,Wine Bar,165
445,The Butchershop Bar & Grill,Wine Bar,645
446,Radisson RED Glasgow,Lodging,560
447,BrewDog Glasgow,Beer Bar,882
448,The 78,Bar,414
449,Chinaskis,Beer Garden,619
450,Nice N Sleazy,Night Club,786
451,Saint Luke’s,Music Venue,61
452,"WEST Brewery, Bar & Restaurant",Bar,478
453,The Clutha Bar,Beer Bar,922
454,13th Note,Night Club,726
455,Hutchesons,Bar,940
456,Merchant Square,Bar,706
457,Guy's Restaurant & Bar,Bar,738
458,Wicked Lounge,Cocktail Bar,742
459,The Gallery,Cocktail Bar,863
460,Warehouse Merchant City,Bar,942
461,Allison Arms,Arts and Entertainment,332
462,The Bungo,Bar,397
463,Koelschip Yard,Beer Bar,344
464,Rum Shack,Cocktail Bar,328
465,Marchtown,Wine Bar,389
466,McMillan's Bar & Chop House,Bar,611
467,Number 10 Hotel,Hotel,656
468,The butterfly and the pig,Arts and Entertainment,929
469,Church on the Hill,Pub,896
470,McNeill's Bar,Sports Bar,56
471,Allison Arms,Arts and Entertainment,245
472,The Bungo,Bar,188
473,Koelschip Yard,Beer Bar,318
474,Rum Shack,Cocktail Bar,254
475,McMillan's Bar & Chop House,Bar,213
476,Marchtown,Wine Bar,117
477,Number 10 Hotel,Hotel,1008
478,The butterfly and the pig,Arts and Entertainment,577
479,Church on the Hill,Pub,818
480,Queens Park Hotel,Hotel,27
481,Hotel du Vin & Bistro Glasgow,Hotel,432
482,1051 Gwr,Bar,94
483,111 by Nico,Bar,531
484,The Hyndland Fox,Bar,760
485,Epicures of Hyndland,Wine Bar,882
486,The Lansdowne - Bar & Kitchen,Pub,53
487,Leonardo Inn Glasgow West End,Hotel,67
488,Glasgow Pond Hotel,Hotel,92
489,The Esquire House,Pub,986
490,Alba Hostel Glasgow,Hostel,831
491,Nice N Sleazy,Night Club,178
492,Kimpton Blythswood Square Hotel,Hotel,503
493,The Butterfly & the Pig,Bar,559
494,The Pot Still,Whisky Bar,783
495,citizenM Hotel Glasgow,Hotel,847
496,Hampton by Hilton Glasgow Central,Hotel,603
497,The Smoking Fox,Bar,819
498,Stereo,Wine Bar,850
499,Apex City of Glasgow Hotel,Hotel,716
500,Lebowskis,Cocktail Bar,718
501,The Butchershop Bar & Grill,Wine Bar,256
502,The 78,Bar,41
503,BrewDog Glasgow,Beer Bar,493
504,The SSE Hydro,Concert Hall,607
505,Taphouse Bar & Kitchen,Wine Bar,231
506,Lebowskis,Cocktail Bar,322
507,Islay Inn,Pub,220
508,Strip Joint,Bar,437
509,Radisson RED Glasgow,Lodging,784
510,Dram,Bar,868
511,Jenny Burn Oatllands,Bar,955
512,The Scottsman Pub,Pub,735
513,The Seven Ways,Bar,948
514,The the Louden Tavern,Sports Bar,970
515,The Old Dalmarnock Inn,Wine Bar,171
516,Norman Street Hostel,Hostel,325
517,Crossreach,Hostel,621
518,Park Lane Tavern,Bar,723
519,Fantastic Victorian apartment next to Glasgow Green Park,Vacation Rental,756
520,Dominion Bar,Bar,776
521,The Clutha Bar,Beer Bar,239
522,13th Note,Night Club,320
523,Sub Club,Night Club,803
524,"WEST Brewery, Bar & Restaurant",Bar,856
525,Max's Bar and Grill,Cocktail Bar,765
526,Saint Luke’s,Music Venue,787
527,The Z Hotel Glasgow,Hotel,961
528,Anchor Line,Cocktail Bar,931
529,Merchant Square,Bar,596
530,The Citizen Bar & Dining Rooms,Cocktail Bar,943
531,Radisson RED Glasgow,Lodging,666
532,The SSE Hydro,Concert Hall,912
533,Hotel Motel One,Lodging,935
534,The Laurieston Bar,Pub,951
535,The Solid Rock Cafe,Bar,980
536,Oasis Lounge,Lounge,720
537,The Sir John Moore,Pub,924
538,Hilton Garden Inn Glasgow City Centre,Hotel,649
539,Etap Hotel,Hotel,233
540,The Ferry,Night Club,323
541,Clockwork Beer Co,Bar,600
542,McMillan's Bar & Chop House,Bar,944
543,Number 10 Hotel,Hotel,589
544,Church on the Hill,Pub,396
545,The Ivory Hotel,Hotel,532
546,The butterfly and the pig,Arts and Entertainment,962
547,Armstrong's,Pub,113
548,The Ball Room,Pool Hall,354
549,Buck’s Bar,Bar,387
550,The Florida Park,Bar,488
551,GoGlasgow Urban Hotel,Hotel,179
