,locName,catName,distance
941,Craigton Lodge,Lodging,58
942,Scottish & Newcastle Limited,Bar,849
943,The Clutha Bar,Beer Bar,372
944,13th Note,Night Club,135
945,Max's Bar and Grill,Cocktail Bar,602
946,Merchant Square,Bar,276
947,Saint Luke’s,Music Venue,639
948,The Z Hotel Glasgow,Hotel,695
949,Sub Club,Night Club,787
950,"WEST Brewery, Bar & Restaurant",Bar,876
951,Anchor Line,Cocktail Bar,736
952,The Citizen Bar & Dining Rooms,Cocktail Bar,755
953,The Z Hotel Glasgow,Hotel,697
954,Max's Bar and Grill,Cocktail Bar,970
955,Ibis Styles Hotel,Hotel,900
956,Saint Luke’s,Music Venue,936
957,Anchor Line,Cocktail Bar,931
958,The Citizen Bar & Dining Rooms,Cocktail Bar,955
959,Merchant Square,Bar,676
960,The Ark Glasgow,Bar,668
961,13th Note,Night Club,953
962,Travelodge,Hotel,947
963,Pinkston Bar,Pub,419
964,Sighthill Stone Circle,Historic and Protected Site,844
965,Possilpark Masonic Social Club,Lounge,865
966,Cowlairs,Arts and Entertainment,298
967,Spring Park Bar,Bar,363
968,Springpark Bar,Bar,364
969,Millarbank Social Club,Bar,542
970,Huntingdon Road Apartment,Residential Building,548
971,ABW Property,Cottage / Cabin,646
972,Scottish Country Cottages,Bed and Breakfast,646
